State/UT|Population|Share|Area|Area_Share|Density|Rank
Uttar Pradesh|237882725|17.35|240928|7.33|987.3602279519192|5
Bihar|124799926|9.1|94163|2.86|1325.3605556322548|12
Maharashtra|123144223|8.98|307713|9.36|400.19181185065304|12
West Bengal|99609303|7.26|88752|2.7|1122.3330516495403|15
Madhya Pradesh|85358965|6.22|308252|9.37|276.9129316273698|17
Rajasthan|81032689|5.91|342239|10.42|236.77222350462688|20
Tamil Nadu|77841267|5.68|130058|3.95|598.5119485152778|20
Karnataka|67562686|4.93|191791|5.83|352.2724528262536|21
Gujarat|63872399|4.66|196024|5.96|325.83968799738807|23
Andhra Pradesh|53903393|3.93|162972|4.87|330.75247895343983|27
Odisha|46356334|3.38|155707|4.73|297.71515731470004|31
Telangana|39362732|2.87|112077|3.49|351.2115063750814|36
Jharkhand|38593948|2.81|79714|2.42|484.1552048573651|37
Kerala|35699443|2.6|38863|1.18|918.5972004219952|41
Assam|35607039|2.6|78438|2.38|453.95138835768375|41
Punjab|30141373|2.2|50362|1.53|598.4943608276081|48
Chhattisgarh|29436231|2.15|135194|4.11|217.73326478985754|48
Haryana|28204692|2.06|44212|1.34|637.9420066950149|51
Delhi|18710922|1.36|1483|0.04|12616.939986513824|63
Jammu & Kashmir|13606320|0.99|42241|1.7|322.11169243152386|75
Uttarakhand|11250858|0.82|53483|1.62|210.3632556139334|84
Himachal Pradesh|7451955|0.54|55673|1.7|133.85222639340435|104
Tripura|4169794|0.3|10486|0.31|397.6534426854854|130
Meghalaya|3366710|0.25|22429|0.68|150.1052209193455|135
Manipur|3091545|0.23|22327|0.68|138.46665472298113|137
Nagaland|2249695|0.16|16579|0.5|135.69545810965678|146
Goa|1586250|0.12|3702|0.11|428.484602917342|153
Arunachal Pradesh|1570458|0.11|83743|2.54|18.75330475383017|153
Puducherry|1413542|0.1|492|0.01|2873.0528455284552|153
Mizoram|1239244|0.09|21081|0.64|58.7848773777335|158
Chandigarh|1158473|0.08|114|0.003|10162.043859649122|159
Sikkim|690251|0.05|7096|0.21|97.27325253664036|166
Dadra & Nagar Haveli and Daman & Diu|615724|0.04|603|0.01|1021.1011608623548|170
A.& N.Islands|417036|0.03|8249|0.25|50.555946175293975|176
Ladakh|289023|0.02|96702|1.8|2.98880064528138|183
Lakshadweep|73183|0.01|32|0.001|2286.96875|204
